Reaction	Genes of a reaction
RXN-13190	SOBIC.010G172700
RXN-3765	SOBIC.002G091400 // SOBIC.002G189300 // SOBIC.006G033800 // SOBIC.001G082500 // SOBIC.001G082300 // SOBIC.007G128000 // SOBIC.008G144401 // SOBIC.008G144300 // SOBIC.003G360900
RXN-1063	SOBIC.004G288500 // SOBIC.003G390000 // SOBIC.003G392500
RXN-4842	SOBIC.002G273700 // SOBIC.002G273800 // SOBIC.002G273600 // SOBIC.002G177300 // SOBIC.001G326400 // SOBIC.001G128900 // SOBIC.008G039501 // SOBIC.008G039300
RXN-11533	SOBIC.005G030400
RXN-11931	
RXN-13494	SOBIC.K043800 // SOBIC.002G396100 // SOBIC.001G385132 // SOBIC.003G228400 // SOBIC.003G109766 // SOBIC.003G229000 // SOBIC.003G228600 // SOBIC.003G228300 // SOBIC.003G228700 // SOBIC.003G228100 // SOBIC.003G228200
RXN-18343	SOBIC.001G347800 // SOBIC.010G184800 // SOBIC.010G184600
TRANS-RXN-207	SOBIC.001G129600
CYTOCHROME-B5-REDUCTASE-RXN	SOBIC.002G274100 // SOBIC.009G178200 // SOBIC.003G333800 // SOBIC.003G049200
RXN-18344	SOBIC.001G347800 // SOBIC.010G184800 // SOBIC.010G184600
RXN-8386	SOBIC.009G196800
RXN-13493	SOBIC.K043800 // SOBIC.002G396100 // SOBIC.001G385132 // SOBIC.003G228400 // SOBIC.003G109766 // SOBIC.003G229000 // SOBIC.003G228600 // SOBIC.003G228300 // SOBIC.003G228700 // SOBIC.003G228100 // SOBIC.003G228200
RXN66-305	
RXN-15458	SOBIC.009G196700 // SOBIC.003G009900
RXN-16998	SOBIC.002G125800 // SOBIC.002G155900 // SOBIC.001G116500 // SOBIC.003G222500
RXN3O-130	
RXN-13189	SOBIC.001G423633 // SOBIC.001G423666 // SOBIC.010G007700
RXN-15598	SOBIC.K030000 // SOBIC.004G303200 // SOBIC.007G117800 // SOBIC.001G113700 // SOBIC.001G201100 // SOBIC.001G273800 // SOBIC.006G159600
RXN-12799	SOBIC.010G019700 // SOBIC.010G020000 // SOBIC.010G242100 // SOBIC.010G019500 // SOBIC.010G019600 // SOBIC.003G388400 // SOBIC.008G122800 // SOBIC.001G319800 // SOBIC.001G319900 // SOBIC.006G185900 // SOBIC.006G186000 // SOBIC.002G320200 // SOBIC.002G336100
RXN-15385	SOBIC.002G154900 // SOBIC.005G162300 // SOBIC.005G162200 // SOBIC.005G161700 // SOBIC.005G109800 // SOBIC.005G166800 // SOBIC.005G162000 // SOBIC.005G161900 // SOBIC.005G161500 // SOBIC.005G109900
RXN-12647	SOBIC.006G073500 // SOBIC.007G023300 // SOBIC.008G120266 // SOBIC.009G174150 // SOBIC.005G116400 // SOBIC.009G143100 // SOBIC.003G171900 // SOBIC.003G168700
RXN-11927	
RXN-11932	
RXN0-6490	SOBIC.006G266200
RXN-715	
TRANS-RXN-243	SOBIC.004G087500 // SOBIC.003G237400
MERCAPYSTRANS-RXN	SOBIC.008G162000 // SOBIC.004G053000
RXN-16997	SOBIC.002G125800 // SOBIC.002G155900 // SOBIC.001G116500 // SOBIC.003G222500
TRANS-RXN-230	SOBIC.003G012300
RXN-15596	SOBIC.006G159600 // SOBIC.001G273800 // SOBIC.001G201100 // SOBIC.001G113700 // SOBIC.007G117800 // SOBIC.004G303200 // SOBIC.K030000
RXN-13076	SOBIC.010G215900
RXN-12883	SOBIC.002G090900 // SOBIC.006G010200 // SOBIC.001G338900 // SOBIC.005G217500
RXN-12226	SOBIC.001G308200 // SOBIC.004G057900 // SOBIC.004G346000
RXN-11937	
RXN-13397	SOBIC.008G039300 // SOBIC.008G039501 // SOBIC.001G128900 // SOBIC.001G326400 // SOBIC.002G177300 // SOBIC.002G273600 // SOBIC.002G273800 // SOBIC.002G273700
1.14.13.68-RXN	SOBIC.005G158000 // SOBIC.008G058500 // SOBIC.001G018600 // SOBIC.001G018300 // SOBIC.001G012000 // SOBIC.001G012200 // SOBIC.002G110100 // SOBIC.002G110200 // G-453
RXN-13193	SOBIC.008G021300 // SOBIC.004G213100 // SOBIC.007G140200 // SOBIC.006G097500 // SOBIC.006G222700
RXN-11930	
RXN-11907	SOBIC.002G273700 // SOBIC.002G273800 // SOBIC.002G273600 // SOBIC.002G177300 // SOBIC.001G326400 // SOBIC.001G128900 // SOBIC.008G039501 // SOBIC.008G039300
ISOFLAVONE-2-HYDROXYLASE-RXN	SOBIC.002G189300 // SOBIC.006G033800 // SOBIC.001G082500 // SOBIC.001G082300 // SOBIC.007G128000 // SOBIC.008G144401 // SOBIC.008G144300 // SOBIC.003G360900
RXN-18341	SOBIC.001G347800 // SOBIC.010G184800 // SOBIC.010G184600
ABC-25-RXN	SOBIC.001G382800 // SOBIC.009G131300
