column 1	Pathways of a reaction	EC-Number	Object ID
"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA + NAD+  <-->  2-methylacetoacetyl-CoA + NADH + H+"	L-isoleucine degradation I	EC-1.1.1.178	1.1.1.178-RXN
GDP-beta-L-fucose + NADP+  <-  GDP-4-dehydro-alpha-D-rhamnose + NADPH + H+	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	EC-1.1.1.271	1.1.1.271-RXN
2'-deoxymugineate + NAD(P)+  <-  3''-deamino-3''-oxonicotianamine + NAD(P)H + H+	2'-deoxymugineic acid phytosiderophore biosynthesis	EC-1.1.1.285	1.1.1.285-RXN
"2-cis,4-trans-xanthoxin + NAD+  ->  (+)-cis-abscisic aldehyde + NADH + H+"	abscisic acid biosynthesis	EC-1.1.1.288	1.1.1.288-RXN
coenzyme A + (R)-mevalonate + 2 NADP+  <-  (S)-3-hydroxy-3-methylglutaryl-CoA + 2 NADPH + 2 H+	mevalonate pathway I (eukaryotes and bacteria)	EC-1.1.1.34	1.1.1.34-RXN
sn-glycerol 3-phosphate + NAD+  <-  glycerone phosphate + NADH + H+	glycerol-3-phosphate shuttle	EC-1.1.1.8	1.1.1.8-RXN
"keto-D-fructose + D-glucopyranose  =  D-glucono-1,5-lactone + D-sorbitol"		EC-1.1.99.28	1.1.99.28-RXN
Q-cycle (mitochondria)	aerobic respiration I (cytochrome c)	EC-7.1.1.8	1.10.2.2-RXN
2'-deoxymugineate + 2-oxoglutarate + dioxygen  ->  mugineate + succinate + CO2 + H+	hydroxylated mugineic acid phytosiderophore biosynthesis	EC-1.14.11.24	1.14.11.24-RXN
trans-5-O-(4-coumaroyl)-D-quinate + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  chlorogenate + oxidized [NADPH-hemoprotein reductase] + H2O	chlorogenic acid biosynthesis II // monolignol biosynthesis	EC-1.14.14.96	1.14.13.36-RXN
hydroxyphenylacetonitrile 2-monooxygenase	dhurrin biosynthesis		1.14.13.42-RXN
(E)-(4-hydroxyphenyl)acetaldehyde oxime + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  (S)-4-hydroxymandelonitrile + oxidized [NADPH-hemoprotein reductase] + 2 H2O	dhurrin biosynthesis	EC-1.14.14.37	1.14.13.68-RXN
"obtusifoliol + 3 reduced [NADPH-hemoprotein reductase] + 3 dioxygen  ->  4alpha-methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol + formate + 3 oxidized [NADPH-hemoprotein reductase] + 4 H2O + H+"	phytosterol biosynthesis (plants)	EC-1.14.14.154	1.14.13.70-RXN
ent-kaurene + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  ent-kaurenol + oxidized [NADPH-hemoprotein reductase] + H2O	gibberellin A<sub>12</sub> biosynthesis // steviol biosynthesis		1.14.13.78-RXN
<em>ent</em>-kaurenoate monooxygenase	gibberellin A<sub>12</sub> biosynthesis		1.14.13.79-RXN
2 reduced ferredoxin [iron-sulfur] cluster + NADP+ + H+  <-->  2 oxidized ferredoxin [iron-sulfur] cluster + NADPH	photosynthesis light reactions I (plastocyanin)	EC-1.18.1.2	1.18.1.2-RXN
D-glyceraldehyde 3-phosphate + NADP+ + phosphate  <-  3-phospho-D-glyceroyl phosphate + NADPH + H+	Calvin-Benson-Bassham cycle	EC-1.2.1.13	1.2.1.13-RXN
formate + NAD+  <-->  CO2 + NADH		EC-1.17.1.9	1.2.1.2-RXN
coenzyme A + 3-methyl-2-oxobutanoate + NAD+  ->  isobutanoyl-CoA + CO2 + NADH	2-oxoisovalerate decarboxylation to isobutanoyl-CoA // L-valine degradation I	EC-1.2.1.25	1.2.1.25-RXN
D-glyceraldehyde 3-phosphate + NADP+ + H2O  ->  3-phospho-D-glycerate + NADPH + 2 H+	glycolysis IV	EC-1.2.1.9	1.2.1.9-RXN
(+)-cis-abscisic aldehyde + H2O + dioxygen  ->  2-cis-abscisate + hydrogen peroxide + H+	abscisic acid biosynthesis	EC-1.2.3.14	1.2.3.14-RXN
arsenous acid + an oxidized electron carrier + H2O  <-->  arsenate + a reduced two electron carrier + 2 H+		EC-1.20.99.1	1.20.99.1-RXN
"5,6-dihydrouracil + NADP+  <-  uracil + NADPH + H+"	uracil degradation I (reductive)	EC-1.3.1.2	1.3.1.2-RXN
"a 5-methyltetrahydrofolate + NAD(P)+  <-->  a 5,10-methylenetetrahydrofolate + NAD(P)H + H+"		EC-1.5.1.20	1.5.1.20-RXN
L-saccharopine + NADP+ + H2O  <-  L-lysine + 2-oxoglutarate + NADPH + H+		EC-1.5.1.8	1.5.1.8-RXN
L-saccharopine + NAD+ + H2O  ->  L-glutamate + (S)-2-amino-6-oxohexanoate + NADH + H+		EC-1.5.1.9	1.5.1.9-RXN
N6-dimethylallyladenine + an oxidized electron carrier + H2O  ->  3-methylbut-2-enal + adenine + a reduced two electron carrier		EC-1.5.99.12	1.5.99.12-RXN
2 monodehydroascorbate radical + NADH  =  2 L-ascorbate + NAD+ + H+		EC-1.6.5.4	1.6.5.4-RXN
NADH[in] + an electron-transfer quinone[membrane] + H+[in]  ->  NAD+[in] + an electron-transfer quinol[membrane]		EC-1.6.5.9	1.6.99.5-RXN
sulfite + AMP + glutathione disulfide + 2 H+  <-  adenosine 5'-phosphosulfate + 2 glutathione	assimilatory sulfate reduction II	EC-1.8.4.9	1.8.4.9-RXN
dehydroascorbate + 2 glutathione  ->  glutathione disulfide + L-ascorbate	ascorbate glutathione cycle	EC-1.8.5.1	1.8.5.1-RXN
"(9S,13S,15Z)-12-oxo-10,11-dihydrophyto-15-enoate + NADP+  <-  (9S,13S,15Z)-12-oxophyto-10,15-dienoate + NADPH + H+"	jasmonic acid biosynthesis	EC-1.3.1.42	12-OXOPHYTODIENOATE-REDUCTASE-RXN
