column 1	Chemical Formula
1-KETO-2-METHYLVALERATE	C6H11O4
1-L-MYO-INOSITOL-1-P	C6H11O9P
13-HYDROXY-MAGNESIUM-PROTOPORP	C35H33N4O5Mg
131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M	C35H31N4O5Mg
16-HYDROXYPALMITATE	C16H31O3
18-HYDROXYOLEATE	C18H33O3
18-OXOOLEATE	C18H31O3
2-ACETO-2-HYDROXY-BUTYRATE	C6H9O4
2-ACETO-LACTATE	C5H7O4
2-AMINOACRYLATE	C3H5NO2
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE	C5H11O7P
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	C7H10O5
2-DEHYDROPANTOATE	C6H9O4
2-HYDROXY-3-KETO-5-METHYLTHIO-1-PHOSPHOP	C6H8O6PS
2-KETO-3-METHYL-VALERATE	C6H9O3
2-KETO-GLUTARAMATE	C5H6NO4
2-KETO-ISOVALERATE	C5H7O3
2-KETOGLUTARATE	C5H4O5
2-METHYL-3-HYDROXY-BUTYRYL-COA	C26H40N7O18P3S
2-METHYL-6-SOLANYL-14-BENZOQUINONE	C52H80O2
2-METHYL-ACETO-ACETYL-COA	C26H38N7O18P3S
2-OXOBUTANOATE	C4H5O3
2-PG	C3H4O7P
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET	C14H22N3O17P3
2-TRANS6-TRANS-FARNESAL	C15H24O
2-TRANS6-TRANS-FARNESOL	C15H26O
2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE	C5H10O9P2
2K-4CH3-PENTANOATE	C6H9O3
3-5-ADP	C10H11N5O10P2
3-CARBOXY-3-HYDROXY-ISOCAPROATE	C7H10O5
3-DEHYDRO-SHIKIMATE	C7H7O5
3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P	C7H10O10P
3-ENOLPYRUVYL-SHIKIMATE-5P	C10H9O10P
3-HYDROXY-3-METHYL-GLUTARYL-COA	C27H39N7O20P3S
3-HYDROXY-PROPIONATE	C3H5O3
3-HYDROXY-PROPIONYL-COA	C24H36N7O18P3S
3-KETOBUTYRATE	C4H5O3
3-METHYL-CROTONYL-COA	C26H38N7O17P3S
3-P-HYDROXYPYRUVATE	C3H2O7P
3-P-SERINE	C3H6NO6P
3-UREIDO-PROPIONATE	C4H7N2O3
34-DIHYDROXYPHENYLPYRUVATE	C9H7O5
4-AMINO-4-DEOXYCHORISMATE	C10H10NO5
4-AMINO-BUTYRALDEHYDE	C4H10NO
4-AMINO-BUTYRATE	C4H9NO2
4-COUMAROYLQUINATE	C16H17O8
4-CYTIDINE-5-DIPHOSPHO-2-C	C14H23N3O14P2
4-FUMARYL-ACETOACETATE	C8H6O6
4-MALEYL-ACETOACETATE	C8H6O6
4-P-PANTOTHENATE	C9H15NO8P
5-10-METHENYL-THF-GLU-N	
5-AMINO-LEVULINATE	C5H9NO3
5-DIPHOSPHO-1D-MYO-INOSITOL-12346P	C6H6O27P7
5-HYDROXY-CONIFERALDEHYDE	C10H10O4
5-HYDROXYISOURATE	C5H4N4O4
5-METHYL-THF-GLU-N	
5-METHYLTHIOADENOSINE	C11H15N5O3S
5-OXOPROLINE	C5H6NO3
5-P-BETA-D-RIBOSYL-AMINE	C5H11NO7P
5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE	C8H13N2O9P
5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	C7H14N2O8P
5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	C8H13N3O7P
5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	C8H15N3O8P
7-8-DIHYDROPTEROATE	C14H13N6O3
ACET	C2H3O2
ACETALD	C2H4O
ACETOACETYL-COA	C25H36N7O18P3S
ACETYL-COA	C23H34N7O17P3S
ACETYL-GLU	C7H9NO5
ACETYLSERINE	C5H9NO4
ACRYLYL-COA	C24H34N7O17P3S
ADENINE	C5H5N5
ADENOSINE	C10H13N5O4
ADENOSINE_DIPHOSPHATE_RIBOSE	C15H21N5O14P2
ADENOSYL-HOMO-CYS	C14H20N6O5S
ADENYLOSUCC	C14H14N5O11P
ADP-D-GLUCOSE	C16H23N5O15P2
AGMATHINE	C5H16N4
AICAR	C9H13N4O8P
ALLANTOATE	C4H7N4O4
ALLYSINE	C6H11NO3
ALPHA-D-GALACTOSE	C6H12O6
ALPHA-GLC-6-P	C6H11O9P
ALPHA-GLUCOSE	C6H12O6
ALPHA-GLUCOSE-16-BISPHOSPHATE	C6H10O12P2
ALPHA-METHYL-5-ALPHA-ERGOSTA	C29H46O
AMINO-HYDROXYMETHYL-METHYL-PYR-P	C6H8N3O4P
AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP	C6H8N3O7P2
AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE	C7H9N5O2
AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE	C9H16N4O6
AMMONIA	H3N
AMMONIUM	H4N
ANTHRANILATE	C7H6NO2
APS	C10H12N5O10PS
ARG	C6H15N4O2
ARSENATE	HO4As
ASCORBATE	C6H7O6
ASN	C4H8N2O3
ATP	C10H12N5O13P3
Alpha-linolenoyl-groups	
B-ALANINE	C3H7NO2
BENZALDEHYDE	C7H6O
BENZOATE	C7H5O2
BENZOYLCOA	C28H36N7O17P3S
BENZYL-ALCOHOL	C7H8O
BETA-D-FRUCTOSE	C6H12O6
BETAINE-ALDEHYDE-HYDRATE	C5H14NO2
BETAINE_ALDEHYDE	C5H12NO
BUTANAL	C4H8O
BUTANOL	C4H10O
BUTYRYL-COA	C25H38N7O17P3S
CA+2	Ca
CAFFEOYL-COA	C30H38N7O19P3S
CAFFEOYLQUINATE	C16H17O9
CAFFEOYLSHIKIMATE	C16H15O8
CARBAMATE	CH2NO2
CARBAMOYL-P	CH2NO5P
CARBAMYUL-L-ASPARTATE	C5H6N2O5
CARBON-DIOXIDE	CO2
CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P	C12H13NO9P
CDP-CHOLINE	C14H25N4O11P2
CH3-MALONATE-S-ALD	C4H5O3
CHLOROPHYLL-A	C55H71N4O5Mg
CHLOROPHYLL-B	C55H70N4O6Mg
CHLOROPHYLLIDE-A	C35H32N4O5Mg
CHOLINE	C5H14NO
CHORISMATE	C10H8O6
CIS-4-HYDROXY-D-PROLINE	C5H9NO3
CIS-ACONITATE	C6H3O6
CIT	C6H5O7
CONIFERYL-ALCOHOL	C10H12O3
CONIFERYL-ALDEHYDE	C10H10O3
COPROPORPHYRINOGEN_III	C36H40N4O8
